# train_severity_l2r_rank 2026-03-29T09:23:50.258702
# model=xgboost test_mode=train_thresholds csv=severity/logging_monitoring_anomalies.csv
# config=/home/work/lab_project/severity/experiment_config.yaml

[로그 파일] /home/work/lab_project/severity/experiment_logs/all_20260329_092153/logs/l2r_xgboost_train_thresholds.log
[[ 0.      0.     -0.8351 -1.7189  1.4577  0.122   1.0859  0.5791 -1.2547  1.2696 -1.309   1.1615  1.3574  0.7751 -1.7115 -0.1346 -0.9621 -1.3686  1.0604  0.8664  0.7023  0.882   1.3367 -0.8785
   0.4453  0.4473  0.635   0.7097 -1.3365 -0.7106]
 [ 1.      0.      0.1243 -0.3186 -1.2696 -1.2888  0.3412  0.4589  1.4455 -0.1913  0.2913 -1.2219  1.3574  0.6019  1.7109 -1.085  -1.6556  1.5471 -0.5     0.8664 -1.4193 -0.881  -0.4545  1.4664
  -0.45    0.4473 -0.2115  0.0033  1.3381 -1.4171]
 [ 2.      0.      0.9625  0.3535 -1.2696  0.12    0.1687  1.4359 -1.1057 -0.4565  1.3232 -0.0269 -0.5194  0.6019 -0.9671 -0.9529  0.4249 -0.0661  0.493   0.518  -0.7121 -0.2933 -1.3501 -1.4647
   1.3406 -1.3473  0.1516  0.7097 -0.445   1.409 ]
 [ 1.      0.     -1.6167 -1.2117 -0.1787 -0.6923 -1.2574 -0.5276 -0.8082  0.3122  0.5782  1.5341 -0.6584  1.1216 -1.1053  0.515  -0.442  -0.3785  0.7767 -1.5721  0.7023 -1.4687  1.3367 -0.8785
   0.4453 -1.3473  1.5224  0.7097 -1.3365  1.409 ]]
[165]	validation_0-ndcg@32:0.51228
[166]	validation_0-ndcg@32:0.51174
[167]	validation_0-ndcg@32:0.51155
[168]	validation_0-ndcg@32:0.51152
[169]	validation_0-ndcg@32:0.51085
[170]	validation_0-ndcg@32:0.51060
[171]	validation_0-ndcg@32:0.51139
[172]	validation_0-ndcg@32:0.51119
[173]	validation_0-ndcg@32:0.51195
[174]	validation_0-ndcg@32:0.51118
[175]	validation_0-ndcg@32:0.51113
[176]	validation_0-ndcg@32:0.51133
[177]	validation_0-ndcg@32:0.51132
[178]	validation_0-ndcg@32:0.51131
[179]	validation_0-ndcg@32:0.51044
[180]	validation_0-ndcg@32:0.51029
[181]	validation_0-ndcg@32:0.51055
[182]	validation_0-ndcg@32:0.51084
[183]	validation_0-ndcg@32:0.51106
[184]	validation_0-ndcg@32:0.51086
[185]	validation_0-ndcg@32:0.51096
[186]	validation_0-ndcg@32:0.51103
[187]	validation_0-ndcg@32:0.51096
[188]	validation_0-ndcg@32:0.51101
[189]	validation_0-ndcg@32:0.51084
[190]	validation_0-ndcg@32:0.51089
[191]	validation_0-ndcg@32:0.51059
[192]	validation_0-ndcg@32:0.51060
[193]	validation_0-ndcg@32:0.51040
[194]	validation_0-ndcg@32:0.51037
[195]	validation_0-ndcg@32:0.50995
[196]	validation_0-ndcg@32:0.51042
[197]	validation_0-ndcg@32:0.51039
[198]	validation_0-ndcg@32:0.51027
[199]	validation_0-ndcg@32:0.51023
[200]	validation_0-ndcg@32:0.50972
[201]	validation_0-ndcg@32:0.50982
[202]	validation_0-ndcg@32:0.50992
[203]	validation_0-ndcg@32:0.51016
[204]	validation_0-ndcg@32:0.51004
[205]	validation_0-ndcg@32:0.50972
[206]	validation_0-ndcg@32:0.50971
[207]	validation_0-ndcg@32:0.50947
[208]	validation_0-ndcg@32:0.50920
[209]	validation_0-ndcg@32:0.50921
[210]	validation_0-ndcg@32:0.50996
[211]	validation_0-ndcg@32:0.51032
[212]	validation_0-ndcg@32:0.50977
[213]	validation_0-ndcg@32:0.50978
[214]	validation_0-ndcg@32:0.50964
[215]	validation_0-ndcg@32:0.50914
[216]	validation_0-ndcg@32:0.50912
