# train_severity_l2r_rank 2026-03-28T05:49:07.246073
# model=xgboost test_mode=train_thresholds csv=severity/logging_monitoring_anomalies.csv
# config=/home/work/lab_project/severity/experiment_config.yaml

[로그 파일] /home/work/lab_project/severity/experiment_logs/all_20260328_054638/logs/l2r_xgboost_train_thresholds.log
[287]	validation_0-ndcg@32:0.49947
[288]	validation_0-ndcg@32:0.49902
[289]	validation_0-ndcg@32:0.49919
[290]	validation_0-ndcg@32:0.49929
[291]	validation_0-ndcg@32:0.49882
[292]	validation_0-ndcg@32:0.49871
[293]	validation_0-ndcg@32:0.49876
[294]	validation_0-ndcg@32:0.49913
[295]	validation_0-ndcg@32:0.49929
[296]	validation_0-ndcg@32:0.49896
[297]	validation_0-ndcg@32:0.49873
[298]	validation_0-ndcg@32:0.49881
[299]	validation_0-ndcg@32:0.49879

[검증] train 비율로 배정한 분류 정확도(early stopping용 참고): 0.2509

[Train] 실제 Severity와 비교 (train 비율 배정)

=== Train (비율 배정) ===
Accuracy: 0.2943
Ordinal MAE (relevance 0–3): 1.1189  (closer wrong labels score better than farther; ex. Critical→High < Critical→Low penalty)
Ordinal RMSE (relevance): 1.4576
Within-1 severity (|pred-true|≤1 step): 0.6766
Macro precision: 0.2941
Macro recall: 0.2941
Macro F1: 0.2941
Weighted precision: 0.2943
Weighted recall: 0.2943
Weighted F1: 0.2943
              precision    recall  f1-score   support

    Critical     0.3754    0.3754    0.3754     15089
        High     0.2418    0.2418    0.2418     14954
      Medium     0.2694    0.2694    0.2694     15010
         Low     0.2898    0.2898    0.2898     14947

    accuracy                         0.2943     60000
   macro avg     0.2941    0.2941    0.2941     60000
weighted avg     0.2943    0.2943    0.2943     60000


Train에서 추정한 score 경계(내림차순 상위부터 Critical→…): [-0.047959 -0.159739 -0.234107]
(참고) train score min/max: -0.609971 / 1.983406

[Test] 실제 Severity와 비교

=== Test (mode=train_thresholds) ===
Accuracy: 0.2505
Ordinal MAE (relevance 0–3): 1.4659  (closer wrong labels score better than farther; ex. Critical→High < Critical→Low penalty)
Ordinal RMSE (relevance): 1.8341
Within-1 severity (|pred-true|≤1 step): 0.5163
Macro precision: 0.2372
Macro recall: 0.2492
Macro F1: 0.1302
Weighted precision: 0.2372
Weighted recall: 0.2505
Weighted F1: 0.1307
              precision    recall  f1-score   support

    Critical     0.2514    0.9248    0.3954      5029
        High     0.2451    0.0480    0.0802      4984
      Medium     0.2244    0.0136    0.0256      5004
         Low     0.2277    0.0102    0.0196      4983

    accuracy                         0.2505     20000
   macro avg     0.2372    0.2492    0.1302     20000
weighted avg     0.2372    0.2505    0.1307     20000


저장: severity/logging_monitoring_anomalies_l2r_xgboost_train_thresholds.csv

=== 소요 시간 ===
CSV 로드·train/val/test 분할: 0.442 s
전처리(인코딩·스케일) + 학습(train∪val L2R): 15.999 s
추론·경계·Train·Val·Test 평가·저장(전수): 3.042 s
  └ Test severity 정답 비교(report_metrics)만: 0.408 s
전체: 19.483 s

=== 랭킹 지표 MRR (L2R/metrics, relevance=0..3) ===
Validation MRR: 0.854100
Test MRR:       0.840628
